Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
1562001625.42376,3.22,-5.881,-10.702,0,-301.355316162109,-436.873199462891,0,-84,20,218,0,240,2108,2048,2560,19,43,-28
1562001625.42386,3.217,-5.879,-10.694,0,-302.590026855469,-438.633209228516,0,-87,15,205,0,240,2112,2048,2556,43,87,-35
1562001625.42393,3.216,-5.876,-10.687,0,-303.7568359375,-440.356658935547,0,-87,15,205,0,240,2112,2048,2560,21,29,-25
1562001625.42401,3.214,-5.876,-10.682,0,-304.793792724609,-442.019287109375,0,-86,18,202,0,240,2116,2044,2560,21,91,-23
1562001625.42408,3.214,-5.875,-10.677,0,-305.8212890625,-443.664703369141,0,-86,18,202,0,240,2112,2048,2560,27,44,-34
1562001625.42415,3.212,-5.877,-10.673,0,-306.681213378906,-445.310546875,0,-88,22,202,0,240,2120,2048,2560,18,91,-17
1562001625.42421,3.21,-5.876,-10.666,0,-307.616577148438,-446.928833007813,0,-88,22,202,0,240,2112,2044,2556,36,59,-42
1562001625.42428,3.208,-5.877,-10.662,0,-308.422882080078,-448.563446044922,0,-84,22,210,0,240,2120,2044,2560,30,66,-18
1562001625.42435,3.204,-5.874,-10.655,0,-309.307342529297,-450.090270996094,0,-84,22,210,0,240,2116,2044,2560,39,76,-34
1562001625.42441,3.206,-5.873,-10.65,0,-310.132537841797,-451.620727539063,0,-78,20,226,0,240,2116,2044,2564,33,42,-22
1562001625.42444,3.201,-5.87,-10.645,0,-310.944519042969,-453.084564208984,0,-78,20,226,0,240,2116,2044,2564,24,109,-26
1562001625.42448,3.204,-5.867,-10.64,0,-311.834503173828,-454.580688476563,0,-86,22,218,0,240,2116,2044,2560,50,34,-34
1562001625.42451,3.199,-5.868,-10.636,0,-312.624786376953,-456.093139648438,0,-86,22,218,0,240,2116,2044,2564,14,64,-13
1562001625.42455,3.199,-5.865,-10.63,0,-313.588745117188,-457.585784912109,0,-84,22,198,0,240,2112,2044,2564,35,82,-26
1562001625.42459,3.199,-5.866,-10.628,0,-314.422485351563,-459.060516357422,0,-84,22,198,0,240,2116,2040,2560,27,30,-23
1562001625.42463,3.196,-5.867,-10.623,0,-315.414581298828,-460.515655517578,0,-83,23,215,0,240,2112,2048,2560,5,100,-18
1562001625.42466,3.2,-5.867,-10.621,0,-316.359710693359,-461.96630859375,0,-83,23,215,0,240,2112,2044,2564,52,34,-23
1562001625.42469,3.193,-5.87,-10.618,0,-317.369445800781,-463.496307373047,0,-82,18,214,0,240,2112,2044,2560,8,69,-23
1562001625.42473,3.196,-5.869,-10.614,0,-318.427673339844,-465.047393798828,0,-82,18,214,0,240,2112,2048,2564,16,50,-15
1562001625.42476,3.195,-5.871,-10.612,0,-319.403594970703,-466.630310058594,0,-86,22,196,0,240,2116,2044,2564,47,40,-22
1562001625.4248,3.197,-5.871,-10.609,0,-320.436859130859,-468.225311279297,0,-86,22,196,0,240,2112,2044,2560,7,53,-23
