Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
1562001290.23708,2.192,-5.117,-97.257,0,-149.815490722656,-376.8076171875,0,-125,-27,209,0,240,2108,2056,2560,19,78,-4
1562001290.23748,2.195,-5.117,-97.256,0,-150.393920898438,-378.30419921875,0,-125,-27,209,0,240,2108,2056,2560,30,46,-15
1562001290.23784,2.195,-5.118,-97.256,0,-150.991317749023,-379.823791503906,0,-129,-19,215,0,240,2104,2052,2560,25,65,-7
1562001290.23827,2.195,-5.118,-97.254,0,-151.619812011719,-381.348785400391,0,-129,-19,215,0,240,2108,2056,2560,17,87,-10
1562001290.23869,2.196,-5.117,-97.254,0,-152.289138793945,-382.841735839844,0,-124,-26,196,0,240,2108,2052,2560,43,39,-12
1562001290.23909,2.193,-5.117,-97.253,0,-152.942459106445,-384.343505859375,0,-124,-26,196,0,240,2104,2052,2560,23,71,-12
1562001290.2395,2.195,-5.117,-97.252,0,-153.584365844727,-385.777130126953,0,-124,-24,206,0,240,2108,2056,2564,16,75,-8
1562001290.23978,2.193,-5.117,-97.251,0,-154.260925292969,-387.231658935547,0,-124,-24,206,0,240,2104,2052,2560,46,39,-10
1562001290.23998,2.194,-5.116,-97.25,0,-154.926971435547,-388.6904296875,0,-129,-23,211,0,240,2104,2052,2560,17,76,-14
1562001290.24019,2.195,-5.116,-97.25,0,-155.652267456055,-390.141265869141,0,-129,-23,211,0,240,2108,2056,2564,21,66,-5
1562001290.24038,2.194,-5.116,-97.248,0,-156.356460571289,-391.612121582031,0,-126,-20,188,0,240,2104,2052,2556,40,44,-10
1562001290.24067,2.196,-5.116,-97.248,0,-157.00700378418,-393.038330078125,0,-126,-20,188,0,240,2108,2052,2560,18,62,-10
1562001290.24094,2.196,-5.117,-97.248,0,-157.659683227539,-394.479797363281,0,-125,-21,223,0,240,2108,2056,2564,10,73,-11
1562001290.24115,2.197,-5.119,-97.247,0,-158.209732055664,-395.912719726563,0,-125,-21,223,0,240,2108,2052,2560,31,69,-11
1562001290.24137,2.196,-5.119,-97.245,0,-158.805374145508,-397.376556396484,0,-127,-27,205,0,240,2108,2056,2564,52,79,-22
1562001290.24157,2.194,-5.117,-97.243,0,-159.361557006836,-398.859680175781,0,-127,-27,205,0,240,2108,2056,2564,35,51,-7
1562001290.24177,2.194,-5.112,-97.241,0,-159.917785644531,-400.396209716797,0,-124,-26,202,0,240,2108,2056,2560,26,54,-3
1562001290.24199,2.195,-5.107,-97.24,0,-160.509292602539,-401.939483642578,0,-124,-26,202,0,240,2108,2056,2564,40,53,-11
1562001290.24219,2.199,-5.104,-97.241,0,-161.036483764648,-403.501220703125,0,-125,-27,207,0,240,2108,2056,2564,24,60,-8
1562001290.24238,2.203,-5.103,-97.241,0,-161.615737915039,-405.013946533203,0,-125,-27,207,0,240,2108,2052,2560,23,67,-9
1562001290.24256,2.205,-5.105,-97.242,0,-162.157455444336,-406.440765380859,0,-125,-23,203,0,240,2108,2052,2564,25,54,-12
1562001290.24275,2.205,-5.105,-97.24,0,-162.723480224609,-407.841339111328,0,-125,-23,203,0,240,2108,2056,2564,30,60,-11
1562001290.24292,2.206,-5.106,-97.239,0,-163.308883666992,-409.209808349609,0,-122,-24,210,0,240,2108,2056,2564,23,66,-13
1562001290.24312,2.207,-5.105,-97.237,0,-163.845458984375,-410.643188476563,0,-122,-24,210,0,240,2112,2052,2564,28,58,-14
1562001290.24329,2.209,-5.104,-97.236,0,-164.358062744141,-412.11767578125,0,-124,-22,212,0,240,2112,2056,2568,26,64,-10
1562001290.24345,2.211,-5.104,-97.235,0,-164.807739257813,-413.598846435547,0,-124,-22,212,0,240,2108,2056,2564,25,61,-10
1562001290.24364,2.212,-5.103,-97.233,0,-165.225296020508,-415.105773925781,0,-122,-24,204,0,240,2112,2056,2564,26,61,-12
1562001290.24381,2.214,-5.103,-97.233,0,-165.666213989258,-416.602752685547,0,-122,-24,204,0,240,2112,2056,2564,24,62,-9
1562001290.24398,2.216,-5.103,-97.232,0,-166.103820800781,-418.130920410156,0,-127,-19,207,0,240,2108,2056,2564,26,62,-9
1562001290.24416,2.218,-5.102,-97.231,0,-166.559326171875,-419.669769287109,0,-127,-19,207,0,240,2112,2056,2560,28,62,-11
1562001290.24435,2.22,-5.101,-97.23,0,-167.003265380859,-421.177368164063,0,-125,-23,209,0,240,2112,2056,2564,28,61,-11
1562001290.24454,2.222,-5.1,-97.229,0,-167.395095825195,-422.68798828125,0,-125,-23,209,0,240,2112,2056,2560,25,60,-11
1562001290.24472,2.224,-5.099,-97.228,0,-167.828842163086,-424.160247802734,0,-128,-22,202,0,240,2108,2056,2564,25,64,-10
1562001290.24491,2.226,-5.099,-97.227,0,-168.229965209961,-425.653625488281,0,-128,-22,202,0,240,2112,2056,2560,25,61,-12
1562001290.24509,2.227,-5.099,-97.226,0,-168.690490722656,-427.136840820313,0,-120,-24,208,0,240,2112,2056,2560,27,62,-10
1562001290.24528,2.229,-5.098,-97.225,0,-169.160064697266,-428.612976074219,0,-120,-24,208,0,240,2108,2056,2560,25,64,-11
1562001290.2455,2.23,-5.098,-97.224,0,-169.635238647461,-430.091094970703,0,-127,-29,211,0,240,2108,2056,2560,26,63,-8
