Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
1562001897.38356,3.004,-6.984,-29.9,0,-195.128158569336,-528.106628417969,0,-107,11,195,0,240,2124,2044,2564,-1,92,3
1562001897.38367,3.013,-6.985,-29.906,0,-195.720169067383,-530.294738769531,0,-107,11,195,0,240,2116,2036,2556,34,11,13
1562001897.38371,3.013,-6.993,-29.91,0,-196.225769042969,-532.551513671875,0,-106,16,220,0,240,2124,2040,2560,-12,87,5
1562001897.38375,3.021,-6.995,-29.918,0,-196.813385009766,-534.53515625,0,-106,16,220,0,240,2120,2032,2560,40,38,15
1562001897.38379,3.025,-7.004,-29.924,0,-197.377868652344,-536.596557617188,0,-100,6,228,0,240,2120,2040,2560,-9,42,18
1562001897.38383,3.026,-7.008,-29.931,0,-197.893707275391,-538.517578125,0,-100,6,228,0,240,2124,2032,2560,32,113,0
1562001897.38386,3.033,-7.014,-29.94,0,-198.463424682617,-540.516967773438,0,-104,4,200,0,240,2120,2040,2556,11,8,22
1562001897.3839,3.029,-7.019,-29.945,0,-198.928421020508,-542.490356445313,0,-104,4,200,0,240,2120,2032,2560,18,76,10
1562001897.38394,3.036,-7.022,-29.953,0,-199.548110961914,-544.481201171875,0,-102,10,198,0,240,2120,2040,2556,24,91,6
1562001897.38397,3.035,-7.028,-29.959,0,-200.071319580078,-546.471130371094,0,-102,10,198,0,240,2124,2032,2560,21,1,21
1562001897.38401,3.037,-7.029,-29.966,0,-200.709655761719,-548.402648925781,0,-103,7,239,0,240,2116,2036,2560,26,112,7
1562001897.38404,3.043,-7.035,-29.975,0,-201.245223999023,-550.411743164063,0,-103,7,239,0,240,2124,2040,2560,2,51,14
1562001897.38408,3.04,-7.036,-29.98,0,-201.861373901367,-552.349548339844,0,-107,3,199,0,240,2116,2036,2556,46,19,13
1562001897.38411,3.046,-7.041,-29.988,0,-202.4560546875,-554.484497070313,0,-107,3,199,0,240,2120,2040,2556,5,109,8
1562001897.38415,3.045,-7.043,-29.994,0,-203.101470947266,-556.526916503906,0,-107,17,209,0,240,2120,2040,2560,11,74,11
1562001897.38418,3.045,-7.046,-30.001,0,-203.830688476563,-558.736877441406,0,-107,17,209,0,240,2112,2040,2556,42,8,13
1562001897.38422,3.047,-7.048,-30.007,0,-204.545257568359,-560.858520507813,0,-109,3,229,0,240,2116,2040,2560,33,99,2
1562001897.38425,3.044,-7.047,-30.012,0,-205.429611206055,-563.0966796875,0,-109,3,229,0,240,2116,2048,2560,5,62,13
