Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20
1562000037.83627,3.52,-5.919,15.112,0,-349.076019287109,-423.469879150391,0,-37,41,195,0,240,2108,2060,2560,-1,44,-161
1562000037.83863,3.521,-5.92,15.154,0,-350.765319824219,-425.555145263672,0,-37,41,195,0,240,2108,2056,2564,-13,8,-154
1562000037.8432,3.522,-5.918,15.197,0,-352.568328857422,-427.531433105469,0,-51,39,205,0,240,2104,2056,2564,9,63,-156
1562000037.84816,3.526,-5.921,15.237,0,-354.291442871094,-429.49365234375,0,-51,39,205,0,240,2108,2052,2564,-2,26,-150
1562000037.85387,3.525,-5.919,15.277,0,-356.111663818359,-431.283386230469,0,-49,43,201,0,240,2104,2048,2560,-1,35,-149
1562000037.86416,3.53,-5.921,15.316,0,-357.930755615234,-433.058319091797,0,-49,43,201,0,240,2104,2048,2568,11,48,-146
1562000037.86495,3.528,-5.922,15.354,0,-359.801818847656,-434.5927734375,0,-48,38,190,0,240,2104,2044,2564,-4,36,-140
1562000037.86853,3.529,-5.922,15.391,0,-361.693603515625,-436.129699707031,0,-48,38,190,0,240,2104,2048,2564,5,30,-140
1562000037.87341,3.53,-5.926,15.426,0,-363.518432617188,-437.521667480469,0,-51,39,207,0,240,2108,2040,2568,8,46,-133
1562000037.87851,3.529,-5.926,15.462,0,-365.400024414063,-438.956878662109,0,-51,39,207,0,240,2100,2044,2560,10,34,-132
1562000037.88357,3.532,-5.929,15.495,0,-367.230102539063,-440.322631835938,0,-52,38,200,0,240,2100,2044,2564,5,25,-131
1562000037.88841,3.531,-5.93,15.527,0,-369.220184326172,-441.617370605469,0,-52,38,200,0,240,2100,2036,2564,18,43,-122
1562000037.89348,3.532,-5.931,15.559,0,-371.28076171875,-442.890991210938,0,-48,40,194,0,240,2096,2040,2560,13,27,-121
1562000037.89888,3.531,-5.933,15.59,0,-373.4423828125,-444.023498535156,0,-48,40,194,0,240,2096,2040,2568,5,26,-128
1562000037.90364,3.53,-5.934,15.621,0,-375.689331054688,-445.237854003906,0,-47,45,207,0,240,2096,2040,2564,14,35,-130
1562000037.90859,3.531,-5.936,15.652,0,-377.924499511719,-446.420867919922,0,-47,45,207,0,240,2092,2044,2560,16,26,-124
1562000037.91515,3.53,-5.937,15.684,0,-380.306274414063,-447.732727050781,0,-46,46,200,0,239,2088,2044,2564,12,23,-124
1562000037.91861,3.53,-5.936,15.715,0,-382.722473144531,-449.127868652344,0,-46,46,200,0,239,2092,2044,2560,25,17,-126
1562000037.92361,3.531,-5.934,15.746,0,-385.235076904297,-450.523071289063,0,-48,34,194,0,239,2092,2044,2564,17,12,-123
1562000037.92863,3.533,-5.931,15.776,0,-387.718444824219,-452.041320800781,0,-48,34,194,0,239,2092,2052,2564,6,12,-124
1562000037.93423,3.538,-5.93,15.806,0,-390.099029541016,-453.567108154297,0,-47,37,203,0,239,2096,2052,2564,10,12,-130
1562000037.93873,3.543,-5.929,15.838,0,-392.377807617188,-455.271118164063,0,-47,37,203,0,239,2100,2052,2560,8,12,-130
1562000037.94533,3.55,-5.927,15.87,0,-394.477325439453,-457.076477050781,0,-45,41,199,0,239,2104,2056,2564,14,13,-139
1562000037.94873,3.556,-5.926,15.904,0,-396.475433349609,-458.924377441406,0,-45,41,199,0,239,2104,2056,2560,4,13,-142
1562000037.95587,3.564,-5.922,15.94,0,-398.319458007813,-460.875549316406,0,-51,43,197,0,239,2108,2060,2564,0,15,-144
1562000037.95879,3.573,-5.92,15.977,0,-400.064239501953,-462.806640625,0,-51,43,197,0,239,2112,2060,2564,0,24,-147
1562000037.96552,3.581,-5.918,16.014,0,-401.662231445313,-464.903717041016,0,-48,40,198,0,239,2116,2064,2568,-3,21,-150
1562000037.96957,3.59,-5.917,16.053,0,-403.085876464844,-467.052001953125,0,-48,40,198,0,239,2120,2064,2560,-6,28,-148
1562000037.97399,3.598,-5.916,16.092,0,-404.352142333984,-469.295532226563,0,-53,39,203,0,239,2120,2064,2568,-9,30,-149
1562000037.97887,3.607,-5.915,16.131,0,-405.427978515625,-471.564483642578,0,-53,39,203,0,239,2124,2064,2568,-7,30,-149
1562000037.98408,3.615,-5.914,16.17,0,-406.408966064453,-473.786773681641,0,-52,42,204,0,239,2128,2064,2560,-11,41,-150
1562000037.98879,3.623,-5.914,16.209,0,-407.302612304688,-476.033081054688,0,-52,42,204,0,239,2124,2064,2568,-13,40,-150
1562000037.99449,3.63,-5.915,16.248,0,-408.164489746094,-478.185363769531,0,-47,33,197,0,240,2124,2060,2568,-14,44,-152
1562000037.99905,3.637,-5.916,16.288,0,-408.992156982422,-480.292175292969,0,-47,33,197,0,240,2132,2056,2564,-8,44,-149
1562000038.00394,3.642,-5.918,16.328,0,-409.784973144531,-482.254211425781,0,-50,44,196,0,240,2128,2056,2564,-11,46,-150
1562000038.01278,3.648,-5.921,16.367,0,-410.5576171875,-484.058532714844,0,-50,44,196,0,240,2124,2052,2568,-7,46,-150
1562000038.03316,3.657,-5.927,16.446,0,-412.303314208984,-487.21875,0,-51,41,203,0,240,2120,2044,2564,-4,54,-149
1562000038.03399,3.659,-5.93,16.485,0,-413.409393310547,-488.563323974609,0,-50,40,196,0,240,2116,2040,2572,-2,50,-144
1562000038.03501,3.659,-5.935,16.523,0,-414.725952148438,-489.702301025391,0,-50,40,196,0,240,2112,2036,2564,0,52,-142
1562000038.03586,3.658,-5.94,16.56,0,-416.169647216797,-490.636260986328,0,-51,39,199,0,240,2112,2032,2564,6,46,-141
1562000038.04041,3.657,-5.946,16.597,0,-417.806945800781,-491.427185058594,0,-51,39,199,0,240,2104,2032,2568,12,43,-138
1562000038.0441,3.656,-5.95,16.633,0,-419.5791015625,-492.098297119141,0,-50,40,198,0,240,2100,2032,2572,15,40,-141
1562000038.04904,3.656,-5.953,16.668,0,-421.527191162109,-492.772064208984,0,-50,40,198,0,240,2104,2032,2564,18,27,-137
1562000038.05409,3.655,-5.955,16.703,0,-423.690032958984,-493.447113037109,0,-49,35,201,0,240,2092,2032,2572,15,30,-138
1562000038.05925,3.656,-5.957,16.738,0,-425.904510498047,-494.149047851563,0,-49,35,201,0,240,2096,2032,2568,14,29,-138
1562000038.06506,3.655,-5.959,16.773,0,-428.38232421875,-494.861907958984,0,-47,39,195,0,240,2088,2032,2568,19,23,-143
1562000038.06915,3.655,-5.961,16.809,0,-430.895812988281,-495.579925537109,0,-47,39,195,0,240,2088,2036,2568,17,26,-145
1562000038.075,3.654,-5.962,16.845,0,-433.659698486328,-496.338012695313,0,-54,40,198,0,239,2084,2036,2564,21,19,-150
1562000038.08056,3.653,-5.961,16.883,0,-436.495971679688,-497.186553955078,0,-54,40,198,0,239,2088,2040,2564,32,15,-158
1562000038.0842,3.655,-5.958,16.923,0,-439.347534179688,-498.115173339844,0,-47,39,205,0,239,2088,2040,2564,31,-4,-162
1562000038.08908,3.658,-5.953,16.964,0,-442.307983398438,-499.161437988281,0,-47,39,205,0,239,2080,2044,2568,29,0,-168
1562000038.09462,3.666,-5.946,17.007,0,-445.095184326172,-500.255432128906,0,-56,44,200,0,239,2092,2044,2560,30,-6,-168
1562000038.09919,3.674,-5.94,17.05,0,-448.008880615234,-501.43896484375,0,-56,44,200,0,239,2092,2048,2568,26,-3,-174
1562000038.10424,3.685,-5.933,17.095,0,-450.572021484375,-502.718475341797,0,-49,47,197,0,239,2104,2052,2560,22,2,-175
1562000038.10926,3.695,-5.927,17.14,0,-452.959411621094,-504.125061035156,0,-49,47,197,0,239,2108,2056,2560,17,7,-172
1562000038.11448,3.706,-5.921,17.186,0,-454.9287109375,-505.77001953125,0,-53,31,199,0,240,2112,2064,2564,15,14,-174
1562000038.1197,3.718,-5.914,17.231,0,-456.547393798828,-507.616638183594,0,-53,31,199,0,240,2120,2068,2564,17,23,-173
1562000038.12642,3.728,-5.906,17.278,0,-458.006011962891,-509.654754638672,0,-45,45,195,0,240,2124,2060,2564,8,34,-176
1562000038.1299,3.738,-5.899,17.324,0,-459.091033935547,-511.748382568359,0,-45,45,195,0,240,2132,2064,2560,4,40,-172
1562000038.13369,3.747,-5.894,17.37,0,-460.049987792969,-513.765014648438,0,-57,41,201,0,240,2136,2064,2560,-9,43,-169
1562000038.13889,3.756,-5.89,17.417,0,-460.6357421875,-515.708679199219,0,-57,41,201,0,240,2136,2060,2560,9,44,-174
1562000038.14407,3.764,-5.889,17.463,0,-461.097991943359,-517.606567382813,0,-56,28,198,0,240,2136,2064,2560,0,55,-166
1562000038.14884,3.772,-5.886,17.508,0,-461.547912597656,-519.563781738281,0,-56,28,198,0,240,2132,2068,2560,-12,57,-165
1562000038.15501,3.778,-5.883,17.553,0,-462.062469482422,-521.632629394531,0,-44,42,192,0,239,2128,2064,2564,0,53,-168
1562000038.16054,3.782,-5.881,17.598,0,-462.8046875,-523.73681640625,0,-44,42,192,0,239,2128,2064,2560,-15,53,-159
1562000038.17031,3.785,-5.88,17.642,0,-463.686828613281,-525.812866210938,0,-56,38,198,0,239,2120,2060,2560,-12,52,-163
1562000038.17093,3.787,-5.88,17.686,0,-464.761047363281,-527.772766113281,0,-56,38,198,0,239,2116,2060,2560,6,48,-166
1562000038.17462,3.789,-5.881,17.729,0,-466.074737548828,-529.571472167969,0,-60,34,194,0,239,2112,2056,2560,-15,55,-157
1562000038.17951,3.789,-5.882,17.772,0,-467.626892089844,-531.248291015625,0,-60,34,194,0,239,2104,2052,2564,-9,53,-163
1562000038.18446,3.785,-5.884,17.815,0,-469.49267578125,-532.763671875,0,-48,46,202,0,239,2100,2048,2564,-1,59,-159
