Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20
1561999780.98983,0.614,-6.567,42.449,0,1.35588693618774,-503.081787109375,0,-19,33,169,0,240,2096,2044,2568,3,32,-117
1561999780.99669,0.619,-6.567,42.482,0,1.02223753929138,-505.243560791016,0,-19,33,169,0,240,2096,2048,2564,9,26,-107
1561999780.99846,0.625,-6.567,42.515,0,0.708324909210205,-507.411773681641,0,-19,39,175,0,240,2096,2048,2564,10,27,-110
1561999781.00292,0.631,-6.566,42.549,0,0.362282752990723,-509.5947265625,0,-19,39,175,0,240,2096,2048,2568,12,31,-121
1561999781.00761,0.638,-6.566,42.582,0,0.0276659727096558,-511.794830322266,0,-15,29,181,0,240,2096,2048,2564,0,26,-110
1561999781.01429,0.645,-6.565,42.618,0,-0.355315119028091,-513.987121582031,0,-15,29,181,0,240,2096,2044,2564,10,28,-118
1561999781.01907,0.651,-6.566,42.652,0,-0.720459222793579,-516.15576171875,0,-19,27,177,0,241,2096,2048,2568,7,29,-121
1561999781.02295,0.658,-6.567,42.688,0,-1.09728419780731,-518.2734375,0,-19,27,177,0,241,2096,2048,2564,0,26,-110
1561999781.02814,0.665,-6.567,42.723,0,-1.47886836528778,-520.39599609375,0,-20,46,178,0,241,2096,2044,2568,11,29,-118
1561999781.03276,0.671,-6.568,42.758,0,-1.85987877845764,-522.476867675781,0,-20,46,178,0,241,2096,2044,2564,8,32,-119
1561999781.03805,0.677,-6.569,42.793,0,-2.26017260551453,-524.530456542969,0,-20,36,190,0,241,2096,2044,2564,4,27,-110
1561999781.0431,0.683,-6.569,42.828,0,-2.65972757339478,-526.542297363281,0,-20,36,190,0,241,2096,2044,2564,13,29,-120
1561999781.04837,0.689,-6.57,42.863,0,-3.07192659378052,-528.494323730469,0,-19,27,171,0,241,2096,2044,2564,8,29,-120
