Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19
1562002036.48553,1.408,-6.573,99.043,0,-68.2812576293945,-553.210021972656,0,69,-49,177,0,240,2092,2036,2568,26,66,-68
1562002036.48557,1.406,-6.575,99.061,0,-69.1612930297852,-554.72265625,0,66,-52,180,0,240,2092,2036,2564,29,59,-70
1562002036.48561,1.405,-6.575,99.078,0,-70.2109298706055,-556.260437011719,0,66,-52,180,0,240,2088,2036,2568,26,52,-70
1562002036.48567,1.404,-6.576,99.096,0,-71.3432312011719,-557.837463378906,0,65,-49,179,0,240,2084,2040,2568,26,53,-68
1562002036.48574,1.404,-6.576,99.113,0,-72.6070785522461,-559.459350585938,0,65,-49,179,0,240,2084,2040,2564,26,47,-71
1562002036.48581,1.404,-6.577,99.13,0,-73.9734725952148,-561.201904296875,0,66,-58,182,0,240,2084,2044,2564,18,46,-69
1562002036.48587,1.405,-6.577,99.147,0,-75.3808746337891,-563.006042480469,0,66,-58,182,0,240,2084,2044,2568,19,40,-68
1562002036.48592,1.406,-6.578,99.164,0,-76.8131637573242,-564.920349121094,0,72,-44,186,0,240,2084,2044,2564,18,40,-68
1562002036.48596,1.409,-6.579,99.181,0,-78.192512512207,-566.889099121094,0,72,-44,186,0,240,2084,2048,2568,20,37,-67
1562002036.48601,1.412,-6.58,99.197,0,-79.5307312011719,-568.887329101563,0,63,-51,185,0,240,2088,2048,2564,17,35,-67
1562002036.48607,1.417,-6.58,99.213,0,-80.7844314575195,-570.969421386719,0,63,-51,185,0,240,2092,2048,2564,19,32,-67
1562002036.48613,1.423,-6.58,99.229,0,-81.8866882324219,-573.045654296875,0,67,-49,179,0,240,2096,2048,2564,16,38,-71
1562002036.4862,1.43,-6.579,99.246,0,-82.7991790771484,-575.17236328125,0,67,-49,179,0,240,2100,2048,2564,17,32,-66
1562002036.48627,1.439,-6.58,99.262,0,-83.4825210571289,-577.224975585938,0,64,-46,188,0,240,2104,2044,2564,21,37,-71
1562002036.48634,1.449,-6.581,99.279,0,-83.968132019043,-579.174377441406,0,64,-46,188,0,240,2108,2040,2564,20,38,-72
1562002036.48641,1.46,-6.581,99.296,0,-84.2842788696289,-581.035522460938,0,70,-56,180,0,240,2112,2044,2564,18,45,-67
1562002036.48648,1.47,-6.583,99.314,0,-84.4220733642578,-582.756042480469,0,70,-56,180,0,240,2116,2040,2564,26,48,-73
1562002036.48655,1.48,-6.584,99.331,0,-84.4233245849609,-584.447937011719,0,69,-53,185,0,240,2116,2036,2564,22,55,-76
1562002036.48661,1.489,-6.585,99.349,0,-84.2696228027344,-586.02783203125,0,69,-53,185,0,240,2120,2036,2560,26,58,-66
1562002036.48668,1.498,-6.587,99.367,0,-84.0042953491211,-587.501159667969,0,60,-46,180,0,240,2124,2032,2560,27,65,-65
1562002036.48674,1.505,-6.589,99.385,0,-83.6600494384766,-588.871948242188,0,60,-46,180,0,240,2120,2032,2564,34,66,-71
1562002036.48681,1.512,-6.59,99.402,0,-83.218994140625,-590.107238769531,0,70,-46,186,0,240,2124,2032,2560,33,68,-62
1562002036.48687,1.518,-6.591,99.418,0,-82.7751998901367,-591.355895996094,0,70,-46,186,0,241,2124,2032,2560,33,72,-65
1562002036.48693,1.524,-6.591,99.434,0,-82.2962265014648,-592.581298828125,0,75,-57,185,0,241,2120,2032,2564,36,73,-62
1562002036.48696,1.528,-6.592,99.45,0,-81.8744354248047,-593.844665527344,0,75,-57,185,0,241,2120,2032,2560,35,78,-56
1562002036.4872,1.531,-6.591,99.465,0,-81.544075012207,-595.11669921875,0,61,-47,173,0,241,2116,2032,2564,37,78,-58
1562002036.48725,1.533,-6.591,99.48,0,-81.3123779296875,-596.389953613281,0,61,-47,173,0,241,2112,2036,2564,36,76,-54
1562002036.48729,1.533,-6.59,99.493,0,-81.2536315917969,-597.767333984375,0,71,-45,187,0,241,2112,2040,2564,38,77,-46
1562002036.48733,1.532,-6.588,99.506,0,-81.2958602905273,-599.244689941406,0,71,-45,187,0,241,2108,2040,2564,33,77,-50
1562002036.48736,1.531,-6.585,99.517,0,-81.4781188964844,-600.863647460938,0,72,-56,190,0,241,2104,2040,2564,37,73,-44
1562002036.4874,1.529,-6.582,99.528,0,-81.8038940429688,-602.575073242188,0,72,-56,190,0,240,2100,2044,2564,33,71,-40
1562002036.48744,1.526,-6.579,99.538,0,-82.2842864990234,-604.320556640625,0,61,-53,175,0,240,2096,2044,2568,28,70,-39
1562002036.48747,1.523,-6.577,99.547,0,-82.9573287963867,-606.114135742188,0,61,-53,175,0,240,2096,2044,2564,33,64,-38
1562002036.48751,1.52,-6.575,99.555,0,-83.7735061645508,-607.959838867188,0,70,-38,190,0,240,2092,2048,2560,25,68,-37
1562002036.48754,1.516,-6.572,99.563,0,-84.6637268066406,-609.878967285156,0,70,-38,190,0,240,2092,2048,2564,26,61,-36
1562002036.48762,1.513,-6.57,99.571,0,-85.6256332397461,-611.881408691406,0,74,-56,184,0,240,2092,2048,2564,25,58,-35
1562002036.48766,1.511,-6.568,99.578,0,-86.5690231323242,-613.933776855469,0,74,-56,184,0,240,2092,2052,2560,27,60,-33
1562002036.48769,1.509,-6.566,99.585,0,-87.5338287353516,-616.048217773438,0,64,-58,178,0,240,2092,2052,2564,16,58,-35
1562002036.48773,1.507,-6.564,99.592,0,-88.4905471801758,-618.216430664063,0,64,-58,178,0,240,2092,2052,2564,20,54,-34
1562002036.48776,1.506,-6.562,99.599,0,-89.38720703125,-620.41015625,0,72,-36,178,0,240,2096,2052,2560,17,56,-35
1562002036.48779,1.506,-6.562,99.606,0,-90.3033599853516,-622.623840332031,0,72,-36,178,0,240,2092,2052,2564,12,52,-36
1562002036.48782,1.506,-6.561,99.613,0,-91.1193008422852,-624.806579589844,0,69,-53,187,0,240,2096,2052,2560,22,52,-36
1562002036.48785,1.507,-6.562,99.621,0,-91.9243392944336,-626.975524902344,0,69,-53,187,0,240,2100,2052,2560,11,57,-39
1562002036.48789,1.509,-6.561,99.628,0,-92.6170043945313,-629.136535644531,0,65,-67,177,0,240,2100,2052,2564,16,55,-40
1562002036.48792,1.511,-6.562,99.637,0,-93.1789855957031,-631.214782714844,0,65,-67,177,0,240,2104,2044,2560,16,55,-40
1562002036.48795,1.513,-6.562,99.646,0,-93.6662139892578,-633.254821777344,0,67,-45,175,0,240,2104,2048,2560,16,63,-40
1562002036.48798,1.515,-6.564,99.654,0,-94.0173110961914,-635.118957519531,0,67,-45,175,0,240,2104,2044,2564,10,56,-38
1562002036.48801,1.517,-6.567,99.663,0,-94.3680572509766,-636.903625488281,0,67,-39,187,0,240,2108,2040,2560,23,56,-43
1562002036.48804,1.52,-6.569,99.671,0,-94.6422424316406,-638.603393554688,0,67,-39,187,0,240,2108,2044,2560,14,59,-36
1562002036.48807,1.524,-6.572,99.68,0,-94.8675003051758,-640.226318359375,0,71,-63,181,0,240,2108,2040,2568,20,55,-38
1562002036.48811,1.528,-6.574,99.688,0,-95.0609436035156,-641.810546875,0,71,-63,181,0,240,2108,2032,2564,26,62,-36
1562002036.48814,1.531,-6.577,99.695,0,-95.1999816894531,-643.233337402344,0,66,-50,170,0,240,2108,2036,2564,15,61,-30
1562002036.48817,1.534,-6.58,99.701,0,-95.3765106201172,-644.54345703125,0,66,-50,170,0,240,2108,2032,2568,31,63,-26
1562002036.4882,1.536,-6.583,99.707,0,-95.5504684448242,-645.716918945313,0,76,-40,182,0,240,2108,2028,2560,35,60,-33
1562002036.48823,1.537,-6.585,99.712,0,-95.7612457275391,-646.817932128906,0,76,-40,182,0,241,2104,2032,2564,27,67,-24
1562002036.48826,1.538,-6.587,99.716,0,-96.0240859985352,-647.883483886719,0,61,-53,187,0,241,2104,2028,2568,34,58,-23
1562002036.48833,1.538,-6.589,99.721,0,-96.3352432250977,-648.933227539063,0,61,-53,187,0,241,2104,2028,2564,37,64,-22
1562002036.48839,1.538,-6.59,99.723,0,-96.6931228637695,-649.966613769531,0,60,-54,178,0,241,2104,2032,2564,30,63,-11
1562002036.48843,1.539,-6.591,99.725,0,-97.0858306884766,-651.010559082031,0,60,-54,178,0,241,2100,2028,2568,41,56,-17
1562002036.48849,1.538,-6.592,99.725,0,-97.4501647949219,-652.045654296875,0,74,-40,178,0,241,2104,2028,2560,36,63,-7
1562002036.48855,1.539,-6.593,99.725,0,-97.8608932495117,-653.127990722656,0,74,-40,178,0,241,2100,2036,2564,36,57,-6
1562002036.48861,1.538,-6.592,99.724,0,-98.2615280151367,-654.253967285156,0,67,-43,187,0,241,2100,2032,2568,45,57,-7
1562002036.48866,1.539,-6.59,99.722,0,-98.6836624145508,-655.518310546875,0,67,-43,187,0,241,2104,2040,2560,42,60,-6
1562002036.48873,1.538,-6.587,99.72,0,-99.1169815063477,-656.925476074219,0,64,-56,186,0,241,2100,2044,2568,31,63,1
1562002036.48879,1.538,-6.584,99.717,0,-99.495246887207,-658.461547851563,0,64,-56,186,0,241,2100,2036,2564,42,58,-6
1562002036.48882,1.537,-6.58,99.715,0,-99.9051895141602,-660.130126953125,0,72,-50,176,0,241,2104,2048,2560,31,62,2
1562002036.48886,1.536,-6.577,99.712,0,-100.238227844238,-661.808166503906,0,72,-50,176,0,241,2104,2048,2568,35,65,-4
1562002036.48889,1.536,-6.574,99.709,0,-100.553771972656,-663.621215820313,0,75,-41,183,0,241,2104,2044,2564,38,58,-3
1562002036.48892,1.535,-6.569,99.706,0,-100.80908203125,-665.462341308594,0,75,-41,183,0,241,2104,2052,2560,38,67,5
1562002036.48895,1.536,-6.564,99.703,0,-101.02074432373,-667.341735839844,0,58,-50,184,0,241,2104,2044,2564,43,54,1
1562002036.48898,1.536,-6.558,99.698,0,-101.252128601074,-669.272644042969,0,58,-50,184,0,240,2104,2048,2564,34,51,5
1562002036.48902,1.537,-6.552,99.693,0,-101.427001953125,-671.135437011719,0,72,-46,180,0,240,2108,2056,2564,28,68,21
1562002036.48905,1.538,-6.549,99.686,0,-101.551567077637,-673.158752441406,0,72,-46,180,0,240,2108,2052,2568,9,71,22
1562002036.48908,1.537,-6.548,99.676,0,-101.55387878418,-675.23486328125,0,73,-47,181,0,240,2108,2052,2564,10,56,32
1562002036.48911,1.537,-6.549,99.664,0,-101.423797607422,-677.371704101563,0,73,-47,181,0,240,2112,2052,2560,12,66,43
1562002036.48914,1.535,-6.551,99.649,0,-101.262382507324,-679.510925292969,0,57,-51,183,0,240,2108,2048,2564,22,74,39
1562002036.48917,1.533,-6.554,99.633,0,-101.048652648926,-681.461120605469,0,57,-51,183,0,240,2108,2048,2564,15,76,54
1562002036.4892,1.528,-6.554,99.616,0,-100.943908691406,-683.418823242188,0,56,-48,178,0,240,2104,2052,2564,18,99,48
1562002036.48923,1.52,-6.554,99.597,0,-100.903602600098,-685.326049804688,0,56,-48,178,0,240,2100,2048,2568,30,76,56
1562002036.48926,1.51,-6.552,99.579,0,-100.967613220215,-687.291687011719,0,73,-51,185,0,240,2104,2048,2560,29,75,57
1562002036.48929,1.502,-6.55,99.559,0,-101.080833435059,-689.240661621094,0,73,-51,185,0,240,2104,2044,2560,25,62,58
1562002036.48932,1.498,-6.549,99.539,0,-101.189643859863,-691.035461425781,0,65,-53,181,0,240,2096,2040,2568,29,32,48
1562002036.48935,1.5,-6.548,99.519,0,-101.343406677246,-692.709899902344,0,65,-53,181,0,240,2100,2044,2560,25,34,49
1562002036.48938,1.506,-6.549,99.499,0,-101.544761657715,-694.260681152344,0,60,-50,182,0,240,2100,2044,2564,14,38,44
1562002036.48942,1.511,-6.551,99.481,0,-101.839897155762,-695.820373535156,0,60,-50,182,0,240,2096,2040,2572,15,46,47
1562002036.48945,1.514,-6.556,99.463,0,-102.144981384277,-697.377319335938,0,69,-45,183,0,240,2104,2040,2560,8,76,46
1562002036.48948,1.51,-6.561,99.447,0,-102.459846496582,-698.877746582031,0,69,-45,183,0,240,2100,2036,2568,16,78,36
1562002036.48951,1.503,-6.567,99.431,0,-102.695236206055,-700.27490234375,0,72,-52,184,0,240,2100,2036,2568,21,78,35
1562002036.48954,1.495,-6.571,99.418,0,-102.932403564453,-701.535766601563,0,72,-52,184,0,240,2108,2036,2556,32,75,22
1562002036.48957,1.488,-6.573,99.407,0,-103.167846679688,-702.7783203125,0,56,-52,176,0,240,2100,2036,2568,41,53,9
1562002036.48989,1.487,-6.572,99.398,0,-103.373962402344,-704.026062011719,0,56,-52,176,0,240,2104,2036,2568,38,26,11
1562002036.48992,1.492,-6.569,99.392,0,-103.609115600586,-705.274780273438,0,64,-38,182,0,240,2108,2032,2560,46,34,5
1562002036.48994,1.502,-6.567,99.385,0,-103.731880187988,-706.499694824219,0,64,-38,182,0,240,2104,2032,2568,30,26,6
