Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20
1562000389.97295,2.222,-5.832,-162.7,0,-152.372970581055,-411.955780029297,0,-14,36,188,0,239,2100,2052,2564,23,36,-70
1562000389.98094,2.225,-5.83,-162.68,0,-153.448852539063,-413.681488037109,0,-14,36,188,0,239,2100,2044,2560,43,45,-80
1562000389.98178,2.227,-5.828,-162.661,0,-154.528518676758,-415.458618164063,0,-14,44,208,0,240,2104,2052,2560,-15,44,-71
1562000389.98257,2.228,-5.827,-162.64,0,-155.615997314453,-417.217926025391,0,-14,44,208,0,240,2100,2052,2560,32,34,-73
1562000389.98297,2.234,-5.826,-162.621,0,-156.624649047852,-419.043487548828,0,-14,40,204,0,240,2104,2048,2560,41,56,-87
1562000389.98599,2.235,-5.825,-162.599,0,-157.673248291016,-420.874603271484,0,-14,40,204,0,240,2104,2056,2560,-16,46,-93
1562000389.99106,2.239,-5.824,-162.576,0,-158.632934570313,-422.746154785156,0,-17,43,195,0,240,2104,2052,2560,14,31,-83
1562000389.99636,2.242,-5.823,-162.552,0,-159.593948364258,-424.696807861328,0,-17,43,195,0,240,2108,2052,2556,31,54,-93
1562000390.00176,2.246,-5.823,-162.526,0,-160.488632202148,-426.634704589844,0,-20,40,198,0,240,2108,2060,2560,-13,34,-92
1562000390.00681,2.253,-5.824,-162.502,0,-161.289535522461,-428.681579589844,0,-20,40,198,0,240,2108,2056,2560,18,34,-87
1562000390.01171,2.259,-5.822,-162.477,0,-162.06901550293,-430.720581054688,0,-16,42,196,0,239,2112,2052,2556,40,55,-95
1562000390.01654,2.266,-5.821,-162.453,0,-162.737640380859,-432.788238525391,0,-16,42,196,0,239,2112,2060,2560,-17,38,-88
1562000390.02174,2.273,-5.819,-162.428,0,-163.393203735352,-434.854156494141,0,-18,42,204,0,239,2112,2056,2556,-7,33,-86
1562000390.02731,2.279,-5.819,-162.404,0,-164.009246826172,-436.898315429688,0,-18,42,204,0,239,2112,2056,2560,39,44,-95
1562000390.03201,2.287,-5.82,-162.379,0,-164.612487792969,-438.943725585938,0,-23,45,197,0,239,2112,2056,2556,15,47,-94
1562000390.03873,2.294,-5.819,-162.354,0,-165.260665893555,-440.94677734375,0,-23,45,197,0,239,2112,2052,2556,2,41,-93
1562000390.04201,2.3,-5.817,-162.328,0,-165.912719726563,-442.869110107422,0,-18,44,196,0,239,2112,2052,2560,19,50,-97
1562000390.04704,2.305,-5.816,-162.302,0,-166.588043212891,-444.691528320313,0,-18,44,196,0,239,2112,2052,2556,8,52,-99
1562000390.0522,2.309,-5.817,-162.275,0,-167.263275146484,-446.479278564453,0,-13,43,201,0,240,2112,2052,2560,-4,51,-93
1562000390.05725,2.313,-5.821,-162.248,0,-167.882965087891,-448.193481445313,0,-13,43,201,0,240,2116,2048,2560,-6,52,-96
1562000390.06186,2.317,-5.826,-162.222,0,-168.510177612305,-449.92578125,0,-16,46,204,0,240,2112,2048,2564,10,45,-101
1562000390.0675,2.322,-5.831,-162.195,0,-169.093475341797,-451.566009521484,0,-16,46,204,0,240,2112,2048,2560,6,53,-100
1562000390.0724,2.327,-5.834,-162.167,0,-169.733001708984,-453.167572021484,0,-26,46,200,0,240,2112,2048,2560,4,52,-100
1562000390.07697,2.331,-5.837,-162.14,0,-170.438903808594,-454.726287841797,0,-26,46,200,0,240,2108,2044,2564,14,45,-98
1562000390.08222,2.335,-5.84,-162.112,0,-171.21891784668,-456.234344482422,0,-18,48,200,0,240,2108,2044,2564,9,49,-101
1562000390.08724,2.34,-5.841,-162.084,0,-172.069931030273,-457.721221923828,0,-18,48,200,0,240,2112,2044,2560,11,43,-103
1562000390.09206,2.344,-5.845,-162.056,0,-172.913513183594,-459.146667480469,0,-20,40,200,0,240,2108,2044,2564,8,43,-105
1562000390.0974,2.35,-5.848,-162.028,0,-173.806198120117,-460.559906005859,0,-20,40,200,0,240,2104,2044,2564,9,40,-107
1562000390.10246,2.356,-5.851,-161.998,0,-174.729568481445,-461.961975097656,0,-15,47,201,0,240,2108,2044,2560,8,41,-113
1562000390.10721,2.362,-5.854,-161.968,0,-175.770263671875,-463.382019042969,0,-15,47,201,0,240,2104,2044,2560,12,37,-115
1562000390.11304,2.367,-5.857,-161.936,0,-176.909042358398,-464.827819824219,0,-19,43,201,0,240,2100,2048,2564,8,36,-116
1562000390.11929,2.373,-5.86,-161.904,0,-178.129760742188,-466.274108886719,0,-19,43,201,0,240,2104,2044,2560,11,38,-118
1562000390.12215,2.379,-5.861,-161.871,0,-179.353652954102,-467.774963378906,0,-20,40,200,0,240,2108,2048,2560,13,37,-120
